회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
도레이케미칼,008000,화학섬유 제조업,"폴리에스터 섬유 및 동 관련제품의 제조판매 및 수출입업,각종 필터 및 동 관련제품의 제조판매 및 수출입업",6/30/1977,03월,"이영관, 이쥬인 히데키(Ijuin Hideki), 임희석(공동 대표이사 3인)",http://www.toray-tck.com,경상북도
동방,004140,도로 화물 운송업,"육상운송,해상운송,항만화물하역,보관,창고,물류사업",8/10/1988,12월,"김형곤, 이달근",http://www.dongbang.co.kr,서울특별시
동부제철,016380,1차 철강 제조업,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매",2/3/1986,12월,김창수,http://www.dongbusteel.co.kr,서울특별시
동성제약,002210,의약품 제조업,"의약품,화장품 제조,도매",1/19/1990,12월,이양구,http://dongsung-pharm.co.kr,서울특별시
동아에스텍,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업",8/2/2004,12월,한상원,http://www.dast.co.kr,전라남도
동양생명,082640,보험업,생명보험,10/8/2009,12월,"구한서, Luo, Jian Rong (뤄젠룽)",http://www.myangel.co.kr,서울특별시
동원금속,018500,자동차 신품 부품 제조업,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매",11/10/1995,03월,"이은우, 박승룡",http://www.dwmic.com,경상북도
동일고무벨트,163560,고무제품 제조업,"산업용고무제품, 종합고무부품",10/19/2012,12월,문승필,http://www.drbworld.com,부산광역시
디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",7/31/1996,12월,"박원호, 장일선",http://www.di.co.kr,서울특별시
롯데쇼핑,023530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2/9/2006,12월,"이원준, 강희태",http://www.lotteshopping.com/,서울특별시
롯데지주,004990,기타 식품 제조업,"과자류,빙과류,껌 제조",2/16/1974,12월,"신동빈,황각규",http://www.lotteconf.co.kr,서울특별시
무림P&P,009580,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",6/20/1989,12월,김석만,http://www.moorimpnp.co.kr,울산광역시
백광소재,014580,"시멘트, 석회, 플라스터 및 그 제품 제조업","생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영",3/7/1991,12월,문희철,http://www.bkmp.co.kr,서울특별시
베트남개발1,096300,신탁업 및 집합투자업,투자신탁,6/13/2007,02월,한국투자신탁운용(주),,서울특별시
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",6/30/2008,12월,양태회,http://www.visang.com,서울특별시
사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조",6/24/1989,12월,이인우,http://www.dongaone.com,서울특별시
삼광글라스,005090,유리 및 유리제품 제조업,"병유리(투명유리병/칼라유리병/박카스병/쥬스병/커피병/소주병/화장품용기),유리식기,크리스탈용기,렌지용 주방용기의 제조 판매",1/6/1993,12월,이복영,http://www.glasslock.co.kr,서울특별시
삼성전기,009150,전자부품 제조업,"영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일",2/27/1979,12월,사장 이윤태,http://www.sem.samsung.co.kr,경기도
삼성전자,005930,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",6/11/1975,12월,"권오현, 윤부근, 신종균",http://www.sec.co.kr,경기도
삼성중공업,010140,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",1/28/1994,12월,박대영,http://www.shi.samsung.co.kr,경기도
삼성카드,029780,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",6/27/2007,12월,원기찬,http://www.samsungcard.co.kr,서울특별시
삼호,001880,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",12/22/1977,12월,추문석,http://www.samho.co.kr,인천광역시
상신브레이크,041650,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",10/27/2004,12월,김효일,http://www.sangsin.com,대구광역시
샘표,007540,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",6/29/1976,12월,박진선,http://www.sempio.com,서울특별시
서원,021050,금속 주조업,"비철금속(황동 빌레트,인코트) 제조,재생원료생산",1/30/1996,12월,"조시영, 조경호",http://www.swbrass.co.kr,경기도
세기상사,002420,"영화, 비디오물, 방송프로그램 제작 및 배급업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",12/27/1968,12월,김정희,http://daehancinema.com,서울특별시
세원정공,021820,자동차 신품 부품 제조업,"자동차부품(차체류,램프류) 제조",7/3/1996,06월,"김문기, 김상현",http://www.se-won.co.kr,대구광역시
신세계건설,034300,건물 건설업,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",6/17/2002,12월,윤명규,http://httpswww.shinsegae-enc.com,서울특별시
신화실업,001770,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",11/23/1988,12월,신정국,http://www.shinhwatp.com,경기도
아비스타,090370,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",12/26/2006,12월,장철진,http://avista.co.kr,서울특별시
아이마켓코리아,122900,상품 종합 도매업,B2B 전자상거래,7/30/2010,12월,김규일,http://www.imarketkorea.com,서울특별시
에넥스,011090,가구 제조업,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매",7/8/1995,12월,"박유재,박진규",http://www.enex.co.kr,서울특별시
에스엘,005850,자동차 신품 부품 제조업,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",11/8/1988,12월,"이충곤,이성엽,김정현",http://www.slworld.com,대구광역시
에이리츠,140910,부동산 임대 및 공급업,,7/14/2011,12월,김종국 (단독 대표이사),http://www.areit.co.kr,서울특별시
엔피씨,004250,플라스틱제품 제조업,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",9/8/1969,12월,"성세영(관리,생산총괄), 김진관(영업총괄)",http://www.npc.co.kr,경기도
영원무역,111770,상품 종합 도매업,스포츠의류,7/30/2009,12월,성기학,,서울특별시
영풍제지,006740,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,지관원지,라이나원지 제조",7/3/1996,12월,김동준,http://www.yp21.co.kr,경기도
영흥철강,012160,1차 철강 제조업,와이어로프 등,1/25/2010,12월,"한재열, 박기훈 (각자대표이사)",,충청남도
우리들제약,004720,의약품 제조업,의약품 외,6/15/1990,12월,류남현,http://www.wooridulpharm.com,경기도
유성기업,002920,자동차 신품 부품 제조업,"철도차량부품(피스턴링,실린더라이너,발브가이드,타펫트),자동차부품,주강,주물 제조,판매",10/10/1988,12월,"류시영, 최철규(각자대표)",http://www.ypr.co.kr,충청남도
이화산업,000760,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",4/29/1994,12월,홍성우,http://www.rifa.co.kr,서울특별시
일동제약,249420,의약품 제조업,"아로나민, 후루마린, 큐란, 라비에트, 사미온 등",8/31/2016,12월,윤웅섭,http://www.ildong.com,서울특별시
일양약품,007570,의약품 제조업,"일반의약품(원비디,영비천,아진탈,디세텔,노루모산),항암제(베타-이뮤난),전문의약품 제조,판매,수출입",8/28/1974,12월,김동연,http://www.ilyang.co.kr,경기도
제이에스코퍼레이션,194370,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2/4/2016,12월,홍재성,http://www.jskor.com,서울특별시
제일기획,030000,광고업,"광고 대행/광고물,영화 제작,인쇄,출판",3/3/1998,12월,임대기,http://www.cheil.co.kr,서울특별시
제일연마,001560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",12/9/2005,12월,"오유인, 오현수 (각자 대표)",http://www.grinding.co.kr,경상북도
제주은행,006220,은행 및 저축기관,"은행업무,외국환업무,신탁업무",12/28/1972,12월,이동대,http://www.e-jejubank.com,제주특별자치도
조흥,002600,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",12/23/1976,12월,유익제,http://www.choheung.co.kr,경기도
주연테크,044380,컴퓨터 및 주변장치 제조업,"각종컴퓨터,주변기기 제조/소프트웨어 개발",11/15/2006,12월,김희라,http://www.jooyon.co.kr,서울특별시
지엠비코리아,013870,자동차 신품 부품 제조업,"VS, TIB, CVJoint 등",11/20/2012,12월,변종문,http://www.gmb.co.kr,경상남도
진양화학,051630,플라스틱제품 제조업,"레쟈,바닥재 제조",1/29/2001,12월,김상용,http://www.chinyang.co.kr,울산광역시
진흥기업,002780,토목 건설업,"아파트건설,토목공사,건축공사,국내도급공사",6/25/1977,12월,김동우,http://www.chinhung.co.kr,인천광역시
천일고속,000650,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",6/23/1977,12월,박도현,http://www.chunilexpress.com,부산광역시
케이티스카이라이프,053210,텔레비전 방송업,위성방송서비스,6/3/2011,12월,이남기,http://www.ktskylife.co.kr,서울특별시
코스맥스,192820,기타 화학제품 제조업,화장품,4/7/2014,12월,"이경수, 김재천",http://www.cosmax.com,경기도
코스맥스비티아이,044820,기타 금융업,"화장품,의약부외품 제조,도매",11/13/2006,12월,이경수,http://www.cosmax.com,경기도
코스모신소재,005070,기타 화학제품 제조업,"이차전지양극활물질,기능성필름",9/28/1987,12월,"홍동환, 허경수",http://www.cosmoamt.com,충청북도
콤텍시스템,031820,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수",2/12/1997,12월,남석우,http://www.comtec.co.kr,서울특별시
크라운해태홀딩스,005740,기타 금융업,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매",6/30/1976,12월,윤석빈,http://www.crown.co.kr,서울특별시
티비에이치글로벌,084870,봉제의복 제조업,"캐주얼의류,여성의류,남성의류 제조,도소매",12/19/2005,12월,우종완,,서울특별시
퍼스텍,010820,무기 및 총포탄 제조업,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발",5/10/1989,12월,"김근수, 전용우",http://www.firsteccom.co.kr,경상남도
하나투어,039130,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",11/1/2011,12월,"박상환, 김진국(각자대표)",http://www.hanatour.com,서울특별시
하이골드3호,153360,운송장비 임대업,,5/4/2012,12월,오운용,,제주특별자치도
한국석유공업,004090,기타 비금속 광물제품 제조업,"석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",6/25/1977,12월,"강승모, 김병집(각자대표이사)",http://www.koreapetroleum.com,서울특별시
한국유리공업,002000,유리 및 유리제품 제조업,"판유리,플로트유리,무늬유리,마블라이트 제조,도매",6/27/1969,12월,이용성,http://www.hanglas.co.kr,서울특별시
한국특수형강,007280,1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",11/13/1989,12월,-,http://www.ekosco.com,부산광역시
한양증권,001750,금융 지원 서비스업,증권업,3/4/1988,12월,정해영,http://www.hygood.co.kr,서울특별시
한일시멘트,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘,레미탈 제조,수출,부원료수입/폐기물 처리/재생사업,관련시설 설계,시공",11/20/1969,12월,"허기호 회장, 곽의영 사장(각자대표)",http://www.hanil.com,서울특별시
한진중공업,097230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",8/31/2007,12월,이윤희,http://www.hanjinsc.com,부산광역시
한창,005110,기계장비 및 관련 물품 도매업,"소화기, 통신장비 유통",6/1/1976,12월,최 승 환,http://www.hanchang.co.kr,부산광역시
현대건설,000720,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",12/22/1984,12월,정수현,http://www.hdec.co.kr,서울특별시
현대미포조선,010620,선박 및 보트 건조업,"선박수리,선박개조,선박신조",12/20/1983,12월,한영석,http://www.hmd.co.kr,울산광역시
현대차투자증권,001500,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",6/9/1990,12월,이용배,http://www.hmcib.com,서울특별시
휠라코리아,081660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",9/28/2010,12월,"윤윤수, 김진면",http://www.fila.co.kr,서울특별시
AP위성,211270,통신 및 방송 장비 제조업,위성통신 단말기,3/4/2016,12월,류장수,http://www.apsi.co.kr,서울특별시
DMS,068790,특수 목적용 기계 제조업,LCD 제조장비,10/1/2004,12월,박용석,http://www.dms21.co.kr,경기도
EMW,079190,통신 및 방송 장비 제조업,휴대폰안테나,11/29/2005,12월,유병훈,http://emw.co.kr,인천광역시
IBKS제7호스팩,276920,금융 지원 서비스업,기업인수목적,11/10/2017,12월,문대우,,서울특별시
KNN,058400,텔레비전 방송업,방송프로그램 제작 및 송출,11/3/2010,12월,"강병중, 이성림 (각자대표이사)",http://www.knn.co.kr,부산광역시
KTH,036030,전기 통신업,"푸딩시리즈,아임IN 등 모바일서비스",12/24/1999,12월,오세영,http://www.kthcorp.com,서울특별시
SFA반도체,036540,반도체 제조업,"반도체패키지(SOP,DIP,QFP)",5/2/2001,12월,김영민,http://www.sts-semi.co.kr,충청남도
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,보안솔루션,12/20/2013,12월,최영철,http://sgasol.kr,서울특별시
SKC 솔믹스,057500,전자부품 제조업,반도체용 파인세라믹제품,12/26/2001,12월,오준록,http://www.skcsolmics.com,경기도
SM C&C,048550,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상콘텐츠 제작 및 매니지먼트, 여행",1/18/2001,12월,"이훈희, 김동준",http://www.smcultureandcontents.com,서울특별시
TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기,4/16/1997,12월,윤재환,http://www.taijinmedia.co.kr,서울특별시
TPC,048770,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)",1/16/2001,12월,"엄주섭, 엄재윤",http://www.TPCpage.com,인천광역시
가비아,079940,소프트웨어 개발 및 공급업,"도메인,호스팅",10/19/2005,12월,김홍국,http://www.gabia.com,경기도
경동제약,011040,의약품 제조업,"로사졸정, 시사프렌정, 디로핀정, 타론정.주",12/18/1992,12월,"류덕희, 류기성",http://www.kdpharma.co.kr,경기도
골프존뉴딘,121440,기타 금융업,골프시뮬레이터,5/20/2011,12월,김준환,http://company.golfzon.com,서울특별시
나라엠앤디,051490,특수 목적용 기계 제조업,"금형,사출 및 판금부품",6/12/2001,12월,김영조,http://www.naramnd.com,경상남도
네패스,033640,반도체 제조업,반도체및TFT-LCD용현상액,12/14/1999,12월,이병구,http://www.nepes.co.kr,충청북도
넥스지,081970,소프트웨어 개발 및 공급업,"보안관제서비스,인터넷정보보안제품",8/20/2007,12월,"이경훈, 김용석",http://www.nexg.net,서울특별시
넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등",6/14/2011,12월,진광(Chen Guang),,경기도
넷게임즈,225570,소프트웨어 개발 및 공급업,기업인수합병,9/25/2015,12월,박용현,,서울특별시
녹십자랩셀,144510,"그외 기타 전문, 과학 및 기술 서비스업","세포치료제, 검체검사서비스, 제대혈은행",6/23/2016,12월,박대우,http://www.gclabcell.com,경기도
대동스틸,048470,1차 철강 제조업,"열연박판, 후판, 무늬강판 외",1/10/2002,12월,임형기 임주희(각자대표이사),http://WWW.DAEDONGSTEEL.CO.KR,인천광역시
대성엘텍,025440,영상 및 음향기기 제조업,카멀티미디어 및 TFT-LCD 부품제조..,5/22/1995,12월,박상규,http://www.dseltec.co.kr,서울특별시
대원미디어,048910,"영화, 비디오물, 방송프로그램 제작 및 배급업","캐릭터 사업, 만화영화 제작",7/31/2001,12월,"정욱, 정동훈",http://www.daewonmedia.com,서울특별시
대한과학,131220,기계장비 및 관련 물품 도매업,"의료, 정밀 및 연구실험기기 제조 및 유통",10/11/2011,12월,서정구,http://www.daihansci.co.kr,강원도
대화제약,067080,의약품 제조업,"후로스판, 세파메칠 등",2/14/2003,12월,"노병태, 김은석(각자대표)",http://www.dhpharm.co.kr,강원도
덕산네오룩스,213420,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST",2/6/2015,12월,"이준호, 김병희(각자 대표이사)",http://www.dsneolux.co.kr,충청남도
덕우전자,263600,전자부품 제조업,카메라 모듈 부품,8/28/2017,12월,이준용,http://www.derkwoo.com,경상북도
동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",Wind-Tower,8/31/2009,12월,양승주,http://www.dongkuksnc.co.kr,경상북도
동국알앤에스,075970,기타 비금속 광물제품 제조업,"내화물, 페라이트, 세라믹",2/13/2004,12월,이강학,http://www.dkref.co.kr,경상남도
동방선기,099410,선박 및 보트 건조업,선박용 배관 등,11/10/2009,12월,김성호,http://www.dongbangsm.co.kr,경상남도
동양이엔피,079960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","휴대폰용,OA기기및통신장비용,디지털가전용전원공급장치",2/1/2005,12월,"김재수,김재만",http://www.dyenp.com,경기도
동일철강,023790,1차 철강 제조업,찬넬,11/7/1994,12월,장인화,http://www.dongilsteel.com,부산광역시
동진쎄미켐,005290,기초 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제",12/21/1999,12월,"이부섭, 이준혁",http://www.dongjin.com,인천광역시
디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체),11/16/2007,12월,김명운,,대전광역시
디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스,8/6/1997,12월,김영수,http://www.chosun.com,서울특별시
리드,197210,특수 목적용 기계 제조업,"LCD 장비(In-Line System, TCU, TRU)",11/20/2015,12월,박동규,http://www.leed1.com,경기도
링네트,042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축(Network Integration),1/10/2002,12월,이주석,http://www.ringnet.co.kr,서울특별시
모바일리더,100030,소프트웨어 개발 및 공급업,"Sync 솔루션, 멀티미디어 솔루션",5/25/2010,12월,정 정 기,http://mobileleader.com,서울특별시
미투온,201490,소프트웨어 개발 및 공급업,소셜 카지노 게임,10/10/2016,12월,손창욱,http://www.me2on.com,서울특별시
바이로메드,084990,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료",12/29/2005,12월,김용수,http://www.viromed.co.kr,서울특별시
버추얼텍,036620,기타 전문 도매업,"고지유통, ERP시스템 운영",1/11/2000,12월,서지현,http://www.virtualtek.co.kr,서울특별시
부스타,008470,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매",2/23/2011,12월,유승협,http://www.booster.co.kr,충청북도
비씨월드제약,200780,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약",12/15/2014,12월,홍성한,http://www.bcwp.co.kr,경기도
비에이치,090460,전자부품 제조업,연성인쇄회로기판(FPCB),1/26/2007,12월,이경환,http://www.bhe.co.kr,인천광역시
비엠티,086670,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)",11/2/2007,12월,윤종찬,http://superlok.com,경상남도
비츠로테크,042370,기타 금융업,"차단기, 개폐기",8/3/2000,06월,"장순상,유병언(각자대표)",http://www.vitzrotech.com,경기도
삼보산업,009620,1차 비철금속 제조업,알미늄괴,12/7/1993,12월,"이태용, 박성남(각자대표)",http://www.samboind.com,경상남도
삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",1/21/2003,12월,황원,http://www.samyungenc.com,부산광역시
삼진,032750,통신 및 방송 장비 제조업,리모트컨트롤러,7/14/1997,12월,김승철,http://www.samjin.com,경기도
삼천당제약,000250,의약품 제조업,"세프메타졸, 파클캅셀, 네틸마이신",10/4/2000,12월,"윤대인, 박전교(각자 대표이사)",http://www.scd.co.kr,경기도
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수배전반,12/24/2014,12월,김한수,http://www.sjem.co.kr,경기도
서호전기,065710,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",항만크레인 구동전기장치,7/16/2002,12월,김승남,http://www.seoho.co.kr,경기도
선광,003100,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",12/21/1999,12월,심충식(단독대표),http://www.sun-kwang.co.kr,인천광역시
성우테크론,045300,전자부품 제조업,"리드프레임가공, 반도체 장비",12/18/2001,12월,박찬홍,http://www.swmv.co.kr,경상남도
세동,053060,자동차 신품 부품 제조업,"도어벨트, 몰딩",8/17/2001,12월,윤정상,http://www.saedong.co.kr,부산광역시
세원,234100,자동차 신품 부품 제조업,자동차 공조장치 부품,10/20/2017,12월,유기철,http://www.sewonmfg.co.kr,경기도
수성,084180,일반 목적용 기계 제조업,전동지게차,12/16/2005,12월,"김태균, 김대진(각자 대표이사)",http://www.soosung.com,인천광역시
스틸플라워,087220,1차 철강 제조업,후육강관,10/27/2009,12월,"김종룡, 박준석(각자 대표)",http://www.steelflower.co.kr,부산광역시
신영스팩2호,225590,금융 지원 서비스업,기업인수합병,10/5/2015,12월,박근용,,서울특별시
쎄노텍,222420,기타 비금속 광물제품 제조업,세라믹 비드,8/6/2015,12월,"변성우, 이승호 (각자대표)",http://www.cenotec.com,경상남도
씨그널엔터테인먼트그룹,099830,"영화, 비디오물, 방송프로그램 제작 및 배급업",엔터테인먼트,1/24/2011,12월,김정상,http://www.signal-ent.com,서울특별시
아리온,058220,통신 및 방송 장비 제조업,디지털셋톱박스,8/5/2005,12월,이창재,http://www.arion.co.kr,경기도
아모텍,052710,전자부품 제조업,"칩바리스터, 아몰퍼스코어",8/1/2003,12월,"김병규, 정준환 (각자 대표이사)",http://www.amotech.co.kr,인천광역시
아이엠,101390,전자부품 제조업,DVD용광픽업등,7/23/2008,12월,손을재,,경기도
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합 및 IT서비스,12/23/2014,12월,이충환,http://www.itcen.co.kr,서울특별시
아진산업,013310,자동차 신품 부품 제조업,자동차 차체 부품,12/22/2015,12월,서중호,http://www.wamc.co.kr,경상북도
알에스오토메이션,140670,전자부품 제조업,"모션제어기, 드라이브, 에너지제어장치",8/11/2017,12월,강덕현,http://www.rsautomation.co.kr,경기도
에머슨퍼시픽,025980,스포츠 서비스업,양가죽원단,1/6/1996,12월,이만규,http://www.emersonpacific.co.kr,충청북도
에스디시스템,121890,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기",7/16/2010,12월,박봉용,http://www.sdsystem.co.kr,경기도
에스앤에스텍,101490,전자부품 제조업,블랭크마스크,4/14/2009,12월,남기수,,대구광역시
에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광발전시스템,태양전지모듈",10/16/2007,12월,홍성민,http://www.s-energy.co.kr,경기도
에스에이티,060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","이동통신중계기용부품(제어기,광모듈,RF필터)",11/28/2006,12월,정성원,http://www.satech.co.kr,경기도
에스엔피월드,263920,그외 기타 제품 제조업,"화장용 스펀지, 퍼프",9/28/2017,12월,전동걸,http://www.snpworld.com,인천광역시
에스와이패널,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",샌드위치 패널,12/29/2015,12월,홍영돈,http://www.sypanel.com,경기도
에스텍,069510,영상 및 음향기기 제조업,스피커 및 스피커시스템,11/14/2003,12월,오인용,http://www.estec.co.kr,경상남도
에스텍파마,041910,의약품 제조업,원료의약품,2/6/2004,12월,김재철,http://www.estechpharma.com,경기도
에스티큐브,052020,전자부품 제조업,"전자부품, 정보통신기기, 지능형로봇외",7/5/2001,12월,정현진,http://www.stcube.com,서울특별시
에스피지,058610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",소형 Geared Motor,7/23/2002,12월,"이준호, 여영길(각자 대표이사)",http://www.spg.co.kr,인천광역시
에치디프로,214870,통신 및 방송 장비 제조업,CCTV 카메라,10/13/2015,12월,최정환,http://www.hdprocctv.com,경기도
에프에스티,036810,전자부품 제조업,"펠리클(반도체부품),칠러장비,반도체유통",1/18/2000,12월,"장명식,유장동(각자대표이사)",http://www.fstc.co.kr,경기도
엔에이치스팩10호,256630,금융 지원 서비스업,기업인수합병,5/2/2017,12월,이강수,,서울특별시
엘아이에스,138690,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C",6/2/2011,12월,임태원,http://www.ltsolution.com,경기도
엘앤에프,066970,일차전지 및 축전지 제조업,TFT-LCD BLU(Back Light Unit),1/2/2003,12월,"이봉원,최수안",http://www.landf.co.kr,대구광역시
엘컴텍,037950,전자부품 제조업,"BLU(Back Light Unit), CCM(Compact Camera Module), Display용 EL",8/24/2000,12월,김영민,http://www.elcomtec.co.kr,경기도
엠에스씨,009780,기타 식품 제조업,식품첨가물,10/12/1993,12월,"김길제, 김호석",http://www.msckorea.com,경상남도
엠에스오토텍,123040,자동차 신품 부품 제조업,자동차 차체 부품,8/6/2010,12월,"이태규, 박종태",http://ms-global.com,경상북도
오르비텍,046120,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등",6/15/2010,12월,"각자대표 (강상원, 권동혁)",http://orbitech.co.kr,서울특별시
오리엔탈정공,014940,선박 및 보트 건조업,"조선해양구조물 및 조선해양기계품 제작,",12/26/2001,12월,박세철,http://www.opco.co.kr,부산광역시
오리엔트정공,065500,자동차 신품 부품 제조업,"하우징, 리테이너베어링",9/19/2002,12월,장재진,http://www.orientpi.co.kr,경상북도
와이솔,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer",9/10/2010,12월,김지호,http://www.wisol.co.kr,경기도
와토스코리아,079000,플라스틱제품 제조업,위생도기용부속(양변기용),11/15/2005,12월,송공석,http://www.watos.com,전라남도
우리기술투자,041190,기타 금융업,창업자에 대한 투자 및 융자,6/9/2000,12월,"정만회, 이정훈",http://www.wooricapital.com,서울특별시
위메이드,112040,소프트웨어 개발 및 공급업,미르의전설2,12/18/2009,12월,장현국,http://corp.wemade.com,경기도
유라테크,048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","점화코일, 스파크플러그",1/11/2001,12월,엄대열,http://www.yuratech.co.kr,세종특별자치시
유비쿼스홀딩스,078070,기타 금융업,"소프트웨어 개발,정보처리유선,무선통신기기,부품,컴퓨터 도소매,제조",1/23/2009,12월,이상근,http://www.ubiquoss.com,경기도
유진로봇,056080,특수 목적용 기계 제조업,"청소로봇, 완구류외",11/13/2001,12월,신 경 철,http://www.yujinrobot.com,서울특별시
이-글 벳,044960,기타 전문 도매업,"아바텍,아목사실린사 등",11/16/2000,12월,"강승조, 강태성(각자 대표이사)",http://www.eaglevet.com,충청남도
이노인스트루먼트,215790,통신 및 방송 장비 제조업,기업 인수 합병,5/8/2015,12월,권대환,,인천광역시
