"order_id","products"
21262,"24184"
21279,"3040 4210 6846 8859 15125 24852 26384"
21297,"1689 13176"
21309,"None"
21455,"5514"
21517,"None"
21569,"None"
21591,"None"
21602,"None"
21611,"35495 36929 41950"
21628,"None"
21882,"None"
21912,"29373"
21937,"24852 34050"
21941,"31205"
21969,"None"
21990,"24852 35914"
22033,"None"
22049,"None"
22058,"None"
22124,"None"
22159,"None"
22213,"43929"
22240,"5025 6789 15221 17691 29743 33671 43772 44177 46361"
22245,"None"
22249,"None"
22255,"2086 3835 11123 13176 18531 18677 24079 26790"
22285,"20940"
22323,"None"
22324,"11123 31231"
22336,"24852 28985"
22447,"44632"
22453,"19660"
22467,"None"
22503,"None"
22629,"39190"
22923,"7156 13031 13176 14652 15070"
22935,"None"
22941,"None"
22955,"5479"
23032,"1940 18926"
23071,"None"
23097,"None"
23099,"None"
23221,"26298 32465 35951"
23255,"None"
23270,"None"
23281,"4957 5785 10586 13176 13877 14917 15693 18523 18606 21137 21469 27086 30726 33787 45223 46676"
23318,"6300 11865 23148 24852 25965"
23367,"None"
23379,"3308 20632"
23392,"None"
23440,"None"
23500,"None"
23528,"9292 46341"
23541,"None"
23547,"32915"
23626,"15767 40852"
23668,"None"
23854,"10032"
23873,"24852 35951"
23877,"None"
23906,"9839 13176 29447 31915"
23910,"6184 11266 12341 42803"
24131,"1504 3397 11707 45448"
24153,"None"
24185,"9444 31231"
24212,"None"
24223,"None"
24237,"13176 21288 30827 33000 35561 39275 43352"
24265,"None"
24333,"None"
24335,"None"
24372,"9175 34483 47877"
24435,"45687"
24444,"None"
24477,"10874 28745 42900"
24494,"9755 10753 13176 33575 47209"
24508,"None"
24511,"31596"
24517,"13176 20119 35221"
24541,"30921"
24580,"5077 28204"
24582,"22046"
24590,"8859 21903 24852 49683"
24646,"5785"
24752,"13176 47780"
24777,"None"
24873,"15374 41290"
24883,"13646"
24912,"17794"
24950,"None"
25009,"6099 7533 24852 34050 35752 37066 40174 46817"
25068,"None"
25079,"2962"
25095,"23909"
25154,"8555 10369 13535 14996 22474 23734 26209 26497 27413 27471 27881 33401 34034 46107 47626"
25164,"19660"
25192,"None"
25205,"None"
25223,"None"
25254,"None"
25388,"4920 16797"
25411,"None"
25427,"None"
25537,"13176"
25653,"24852 26209 38293"
25662,"None"
25663,"None"
25687,"13517 22935 45007 47209 47626"
25782,"1360 30489"
25850,"None"
26010,"None"
26180,"None"
26185,"39928"
26282,"None"
26289,"None"
26301,"None"
26320,"5876 27521"
26383,"24852 27985 41116"
26393,"None"
26413,"8339 18234 34243 43086"
26473,"None"
26483,"35503 47766"
26511,"None"
26534,"None"
26601,"None"
26626,"None"
26674,"4920 5883 9808 13176 15872 27845 28985 33768 43394 45007"
26697,"9839"
26705,"8277 24852 28985 35946"
26707,"None"
26717,"None"
26720,"5025 9018 11068 24964 26209 27323 27845 28842 44961 44987 47209 47626"
26776,"5077 5550 14114 16797 17122 17949 18104 21150 24852 26706 27179 29695 34298 45475 47519"
26778,"None"
26951,"17577 47766"
26979,"6184"
27093,"None"
27095,"4945 14947 21137 22124 45066 47766"
27121,"33754"
27125,"None"
27168,"None"
27260,"23423"
27317,"5729 19691 24852"
27357,"13176"
27364,"None"
27370,"None"
27373,"9 4562 5876 8174 8195 13176 17079 17080 21137 27903 28985 31717 35419 36186 37357 40672 43631 45622"
27427,"6680 27966 30489"
27486,"15134"
27604,"4605 8193 26209 47626"
27632,"3696 23322 24852 39408 40354 40709 43459"
27716,"None"
27738,"None"
27798,"28535"
27887,"36316 43631 47977"
27919,"13176"
27929,"None"
27937,"27845"
27971,"12817 16797 30183 31278"
27989,"None"
28033,"None"
28049,"21903 45224"
28089,"38200"
28187,"21288 21385 22900 37317 43352"
28211,"3599 20754 36207"
28316,"1511 4085 24852 44632 49683"
28363,"13176 47626 47766 48679"
28369,"12341 13176"
28467,"10017 27845 40310 40396 47209 47626"
28493,"27683 34844 35121"
28634,"39160"
28651,"44397"
28707,"None"
28710,"None"
28715,"None"
28763,"None"
28767,"None"
28777,"None"
28823,"41220"
28858,"5479"
28869,"17487 45763"
28873,"11945 27966 34126"
28926,"6933 14371"
28969,"4137 15780 23753"
28986,"None"
28995,"4347 8153 32303 36436 46475"
29073,"None"
29096,"None"
29193,"27959 32831 39928 47766"
29212,"None"
29213,"24616 45311 45603"
29282,"19057"
29283,"47766"
29511,"432 13176 36923"
29593,"24852"
29600,"24852"
29615,"18765"
29648,"None"
29737,"None"
29834,"8277 24852 26604 44632 47626"
29848,"24235"
29924,"None"
29973,"None"
29990,"3562 26698 31960 38124 42252"
29992,"None"
30016,"None"
30052,"4605 13660 31766 47626"
30090,"14947 20114"
30151,"None"
30163,"12099 16797 24852 45437"
30202,"21137 26604 32655 45494"
30213,"10326"
30223,"None"
30284,"9076 14715 33120"
30307,"3957"
30315,"16797"
30525,"None"
30542,"20794 24852"
30604,"29871 47766"
30787,"39947"
30796,"None"
30811,"5764 7673 20015 24852 27235 35951 42768 43772"
30919,"None"
30928,"43086 47766"
30995,"17652 27845 43895"
30999,"13176 39409 39928"
31010,"36186 42736 49610"
31052,"6184 13176 21903 43352"
31192,"4895 34160 41116 47842"
31360,"16283"
31367,"8192 21019"
31381,"None"
31458,"None"
31500,"4947 5653 13829 16446 19097 22624 24852 25146 28427 29487 32303 34047"
31639,"4605"
31650,"10369 12477 17795 24852 25767 29487 35503 44560 47209 49683"
31731,"None"
31766,"24852"
31805,"43394"
31918,"36011"
31926,"4635"
31927,"None"
31954,"None"
31986,"27839"
32002,"19604 24852"
32050,"2078 8193 8518 10017 12419 14764 16083 24964 33731 39993 47626"
32059,"None"
32075,"None"
32097,"24852"
32109,"22035 24799 24852 27845 39475 44632 45066"
32136,"29447 33037 35221"
32139,"24852"
32180,"877"
32193,"None"
32270,"9421 22286 30776"
32360,"None"
32373,"10337 22935 31504"
32394,"24852"
32403,"5539 5769 8859 11520 42244 49235"
32407,"5785 44910"
32452,"None"
32462,"6104 13176 27845"
32586,"43352"
32635,"22802"
32690,"5120 9839 22556 23288 25533 27104 36149 41697"
32706,"4952 9138 10339 11399 22170 22832 27966 36724 38533 43154 46676 48453 49519"
32714,"None"
32728,"None"
32790,"None"
32878,"None"
32883,"19660 24852"
32954,"None"
33006,"47766"
33031,"24852"
33047,"None"
33087,"5110 12916 29509 43903"
33115,"None"
33118,"33071 47231"
33135,"3599 4472 13166 14702 16142 24852 25513 27966 47766"
33154,"None"
33171,"34134"
33323,"None"
33352,"None"
33475,"37923"
33505,"24561 38890"
33529,"19057 24852"
33545,"2770 19156 29629 41463 49683"
33563,"43154"
33611,"4988 8390 9760 43845 48808"
33632,"47766"
33639,"None"
33707,"6448 19348 43631"
33832,"20307 24838"
33895,"7893 8859 24852 39448 40706"
33938,"None"
33946,"None"
33951,"36011"
33969,"None"
34042,"21709"
34061,"4957 24852 27086"
34078,"19057"
34168,"24857 33433 34584"
34218,"11520"
34233,"23879 29686 47209"
34362,"None"
34416,"13176"
34417,"3957 27966"
34418,"4605 47626 47766"
34454,"24852"
34474,"29447"
34518,"5782 30827 38768"
34523,"11109 13176 49235"
34550,"None"
34571,"None"
34585,"4920 9387 24838 33787"
34632,"20574 21174 24852 34969 39475"
34682,"35921 37067"
34692,"None"
34696,"28413"
34707,"1940 7177 15343 21949 23296 33548 33791 44156 46817 48626"
34815,"None"
34817,"41131"
34826,"None"
34858,"None"
34905,"16797 17207 21288"
35068,"877"
35125,"None"
35202,"None"
35214,"10"
35379,"19354"
35386,"None"
35417,"3776"
35447,"1203 2562 3583 21938 22935 24852 25533 35547 39121 41950 43768 46913 47209 47626 49683"
35524,"None"
35600,"24852"
35632,"None"
35635,"3896 13176 30391 31343 32655"
35668,"2295 7156 8239 17794 20114 24852 26497 28842 30391 42585 45007 47626 47630"
35746,"None"
35783,"1916 45190"
35823,"None"
35840,"None"
35859,"None"
35866,"6438 49683"
35868,"None"
35887,"13176"
35913,"21903"
36011,"None"
36031,"13176 19057 20316 37496 48356"
36049,"None"
36152,"34969 42768 47937 49683"
36274,"13176 35951"
36320,"None"
36340,"None"
36350,"None"
36450,"47209"
36498,"21137 30639 44116"
36535,"None"
36564,"24852"
36679,"24852 42719"
36727,"23909 24852 44980"
36740,"7393 13841 25976 27726"
36750,"3798 6184 13176 13575 30591 33783 38928"
36763,"13176 15984 24838"
36791,"32655"
36797,"None"
36825,"3957 40146"
36860,"14947"
36863,"10749 24964 27521 32177"
36878,"432"
36887,"None"
36898,"19660"
36908,"31635"
36939,"None"
36966,"None"
36971,"11712 14467"
36977,"None"
36983,"11143 13176 13646 23288 23576 24838 34262 42536 49235"
36998,"27966"
37040,"30635"
37143,"None"
37147,"46650"
37150,"9964 19893 21230 24852 27336 27845 47209"
37177,"None"
37243,"None"
37269,"4210 24852"
37291,"21903 47209"
37374,"None"
37402,"None"
37423,"1463 24799 24852 31981 43352 43541"
37424,"None"
37546,"None"
37553,"None"
37575,"None"
37580,"1890 5077 40852"
37586,"None"
37614,"13176 36278"
37642,"None"
37721,"None"
37733,"14196 18438 18871 40453"
37746,"4799 21616 24852 45066"
37863,"44570"
37888,"37332"
37890,"45 6244 16797 23102 24852 34024 38849"
37892,"13712"
37954,"13176 34197"
38016,"None"
38122,"None"
38134,"43154"
38139,"40174 47209"
38202,"196"
38261,"24852"
38383,"None"
38414,"None"
38425,"17027"
38429,"None"
38536,"None"
38613,"None"
38621,"13944"
38644,"16757"
38793,"45223"
38802,"None"
38807,"8174 22286"
38818,"None"
38949,"6052 35221 35762"
38977,"None"
38983,"5077 31683"
38995,"9825 13176 14947 22963 46650"
39011,"27845 32230"
39065,"24852"
39109,"7807 23909"
39112,"36316"
39116,"24852"
39147,"None"
39157,"None"
39195,"None"
39207,"1185 40171"
39289,"49235"
39313,"None"
39315,"35470"
39384,"21709"
39432,"None"
39448,"27845 45423 47766"
39499,"18171 36869 37724 40310"
39514,"5479"
39522,"10957"
39606,"None"
39629,"5479 11576 13176"
39646,"8758 20632 24852 25466 32981 47209"
39702,"None"
39717,"None"
39792,"None"
39835,"None"
39872,"7688 32441"
39899,"21137"
39951,"21137 27845 39216"
39952,"7969 24852 28204 28498 43122 45066 47626 47766"
40033,"None"
40034,"5449 10874 27845 38293"
40070,"None"
40127,"25753"
40154,"8053 17706 27325 27730 30233 41844 48409"
40182,"1511"
40378,"None"
40511,"24852"
40574,"30639"
40650,"None"
40657,"None"
40749,"None"
40780,"24852 30169"
40876,"10753 19208"
40885,"24852"
40888,"14874 49235"
40966,"20345"
40967,"None"
40983,"None"
41078,"790 3560 14197 22395 23734 29646 33326 42908 44372 47447 47854"
41083,"39180"
41117,"8022 13870 14335 44292"
41143,"None"
41178,"21137"
41192,"6948 14947 19660 23288 47209"
41211,"None"
41400,"12341 21137 46802"
41470,"None"
41564,"None"
41582,"24852 25890 45504"
41642,"None"
41663,"None"
41783,"23891"
41789,"None"
41790,"None"
41823,"None"
41825,"196"
41832,"None"
41913,"None"
41924,"4410 13176 21616 24035 30146 36205 42442 43310 45311"
42002,"8228 8475 27710"
42035,"34584 45066"
42050,"None"
42061,"34862 45064"
42093,"31981"
42166,"1240 34418"
42206,"13176 21038 22035 36695"
42262,"42736"
42316,"1581 3990 4635 4648 5038 7837 12817 23909 24852 34431 40670 42093 42252"
42365,"None"
42372,"25466 33293 40146"
42394,"13176 18765"
42457,"None"
42459,"None"
42477,"None"
42483,"24852"
42540,"None"
42545,"18465"
42581,"43295"
42610,"None"
42612,"2559 33198 33852"
42677,"None"
42701,"13176 23737"
42748,"None"
42770,"None"
42785,"None"
42810,"None"
42829,"13045 13176 16616 21903 27966 43789"
42972,"None"
43055,"2962 16768 19677 21709 35221 44632"
43058,"432 28204 49198"
43171,"None"
43273,"8277 10753 27845 49235"
43287,"35537"
43313,"24852"
43314,"5764 6656 11005 17948 21227 24810 25767 27966 30336 40706 42450 43154 45007"
43349,"None"
43407,"None"
43444,"None"
43464,"14947"
43529,"None"
43531,"551"
43668,"196 46149"
43696,"None"
43714,"None"
43783,"23909 35619"
43784,"196 1463 24852"
43882,"None"
43894,"4920 25146"
43927,"5514 13176"
43943,"None"
43956,"None"
43967,"9124"
44001,"3957 46969"
44007,"18027 21616 49235"
44031,"37646"
44057,"19660"
44098,"None"
44123,"3339 19660"
44134,"None"
44165,"None"
44176,"39491 40896"
44216,"24852"
44269,"24852 44156"
44357,"None"
44378,"None"
44379,"None"
44404,"47766"
44436,"None"
44455,"5189 6277 16900 27429 33129 33819 39041 41488 41719"
44510,"None"
44533,"47766"
44559,"3397 25890"
44712,"21716"
44808,"None"
44811,"210 3849 5450 9913 22825 24810 44632 45066"
44877,"23662"
44897,"None"
44951,"22754 23909 27325 39041 47877"
45013,"13913"
45029,"24852"
45071,"None"
45074,"554 1160"
45120,"None"
45139,"None"
45188,"24852 46667"
45219,"None"
45258,"None"
45309,"None"
45342,"None"
45351,"None"
45383,"6347 19558"
45389,"None"
45400,"None"
45430,"None"
45487,"None"
45527,"None"
45553,"None"
45581,"19660 43101"
45591,"None"
45605,"None"
45670,"5479 7503 21462"
45708,"13176 27104"
45821,"None"
46015,"None"
46057,"1463 4809 7781 24852 46906"
46073,"12218 28993"
46163,"None"
46238,"32655"
46290,"5449 12581 26165 32734 46654 47626 47766"
46304,"4013 5785 13176 25837 31404 47888"
46457,"None"
46468,"None"
46510,"None"
46511,"None"
46569,"None"
46604,"49520"
46648,"2120"
46675,"None"
46690,"8518 10749 21903 28204 31040 34128 46676 47766"
46736,"13176 35951"
46776,"None"
46789,"13176 21903 24838 40723 47209"
46802,"13424 14715 31651 32455"
46827,"21903 24852 36011"
46867,"None"
46900,"None"
46947,"48626"
47042,"None"
47094,"21137 28928 28954 42383 47766"
47128,"8736"
47131,"24852"
47321,"None"
47411,"8048 12341 16797 21288"
47459,"5645 32660"
47530,"24852"
47596,"329 21137 26209 40761"
47606,"None"
47677,"None"
47679,"None"
47729,"14999"
47746,"None"
47777,"17459 24852"
47887,"None"
47944,"None"
47958,"4793 5785 13176 17872 30233 35535"
48011,"16965 31893 48523"
48058,"None"
48096,"None"
48240,"None"
48297,"12817 16615 19057 19173 28823 33894 34862 36393 38511 38819 44042 46595"
48346,"32403"
48544,"7781 26620 27548 27663 28682 30336 32139 40396 47792"
48547,"1194 5212 25718 43394 47626"
48591,"5077 14218 21903 36011 40396 47766"
48648,"None"
48649,"6317 10991 13176 20580 24373 26620 31040 35221 49235"
48691,"6948 24799 26165 26842 28465 35851 48186"
48786,"None"
48866,"None"
48879,"13944 40261"
48890,"13245"
48948,"None"
49006,"27845"
49089,"23765"
49098,"None"
49158,"None"
49209,"35042 37294"
49225,"13128"
49320,"None"
49388,"14461"
49437,"25544 25804 29258 31426"
49513,"21903"
49514,"None"
49550,"3822 13176 32360"
49592,"1940 4920 8277 13176 29941 35233 43122 47626"
49617,"35851 45968 47029 49075"
49656,"None"
49674,"None"
49678,"17341"
49826,"24852"
49871,"None"
49893,"11520"
49926,"48199"
49927,"None"
49990,"23909"
49995,"20082"
50009,"29603 30442"
50026,"14161 24852 26497"
50118,"33081"
50182,"None"
50214,"None"
50250,"38818"
50295,"None"
50323,"None"
50368,"None"
50391,"13176 27845"
50430,"196 14414 17122 19660 48532"
50478,"35628 40852"
50482,"5479 18200"
50509,"None"
50510,"6948 24852 38312 48220"
50563,"8247 11182 44116"
50568,"30434 33698 36685"
50574,"24852 29487 47766"
50595,"3849"
50637,"8174 13176 30391 37646 47209"
50670,"26047"
50819,"15555 24852 42450 42460 47112"
50865,"None"
51072,"6948"
51122,"27845"
51141,"6104 13176 21137 27845 27966 40723 42265"
51175,"None"
51200,"4605 24852"
51203,"None"
51218,"32403"
51222,"None"
51234,"16857 24160 28289 31717 48186"
51265,"10070 33819 38739"
51269,"None"
51357,"None"
51443,"None"
51583,"None"
51612,"30482"
51731,"None"
51764,"29615"
51780,"None"
51823,"None"
51964,"None"
52040,"None"
52112,"21137 27966 30391"
52189,"15469 18150 33129 44199 47499"
52239,"5161"
52241,"36011"
52283,"None"
52336,"1313 15021"
52450,"24852"
52468,"12384"
52626,"None"
52627,"24668"
52731,"5077 12427"
52777,"None"
52848,"None"
52853,"13176 41488"
52865,"21903 47766"
52894,"31651"
52906,"24852 34050"
52907,"21137 24852 31635 47209"
53018,"None"
53110,"8277 13176 27521"
53112,"21115"
53137,"25718"
53144,"None"
53212,"12614 43735"
53277,"12320"
53298,"13176 16797 34295 46676 47209"
53457,"13176"
53495,"17027"
53501,"13176"
53574,"8174 24852 26209 39877 47209"
53623,"None"
53699,"8174 20463"
53766,"2078 6336 13629 14678 21137 34243 37029 43768 46979"
53771,"None"
53794,"35053"
53822,"432 1700 3330 5449 5692 7088 14218 18389 19885 21137 21903 26706 27522 29801 40301 42710 45645"
53885,"5785 23986 43545"
53886,"None"
53974,"8076 10603 20082 20169 24852 38544 39527 45066 45866 47766"
54031,"38799"
54134,"5134 5640 8021 27247 27881 31335 36404 47059"
54188,"20995 33911"
54243,"21616"
54292,"48559"
54293,"None"
54331,"21405 47209"
54392,"None"
54420,"48568"
54488,"32478"
54495,"11885"
54563,"None"
54603,"8277 10385 13176 21137 30489 34259 45570 46969 47209"
54765,"None"
54773,"None"
54830,"None"
54891,"47209"
54946,"None"
54983,"None"
55106,"13176 19660 39475"
55125,"None"
55171,"None"
55198,"35727"
55210,"None"
55242,"20842 27845"
55266,"24852 46203"
55288,"35221"
55319,"14947 33632 40268"
55347,"4210 13176 19604 31981 37552"
55429,"2962 7533 20682 24852 30169 43850"
55455,"19660"
55472,"None"
55605,"13176"
55661,"None"
55684,"None"
55708,"33000 48762"
55786,"27845"
55834,"None"
55841,"3434"
55975,"None"
56041,"21137 21777 24852 27413 29993 30169 30489 38777 42719"
56078,"None"
56111,"11344 40571"
56121,"None"
56157,"5994 11712 35181 49031"
56216,"None"
56241,"24852"
56283,"14948"
56309,"5785 17758 21137 27966 33198 34993"
56312,"46088"
56317,"None"
56335,"1998 7303 30334"
56387,"2977 5450 9076 10613 14161 22959 24852 48907"
56628,"None"
56702,"2234 2405 18811 27629 34134 36654 41756"
56707,"None"
56739,"None"
56753,"None"
56756,"None"
56827,"2770 17092 18465 43961 49235"
56880,"None"
56913,"None"
56939,"38739 43352"
56946,"None"
56955,"3161 27564 34216 43183 44799 49508"
57058,"8859 17966 36972"
57117,"None"
57130,"None"
57180,"None"
57197,"None"
